source,series,author,english_title,original_title,translator,pub_year,place,publisher,country,original_year,era,canonical_author,canonical_work
UNESCO Index Translationum,,"Horatius Flaccus, Quintus; Carne-Ross, D. S.; Haynes, Kenneth",Horace in English,,,1996,London,Penguin,United Kingdom,-23,classical,Horace,Odes
UNESCO Index Translationum,,,Classical literary criticism,,"Dorsch, T. S.; Murray, Penelope",2000,London,Penguin,United Kingdom,-50,classical,Various Classical Authors,Classical Literary Criticism
UNESCO Index Translationum,,"Plautus, Titus Maccius",Four comedies,,"Segal, Erich",1996,Oxford,Oxford University Press,United Kingdom,-205,classical,Plautus,Comedies
UNESCO Index Translationum,,"Livius, Titus Maccius; Heckel, Waldemar",The dawn of the Roman Empire,Ab urbe condita,"Yardley, J. C.",2000,Oxford,Oxford University Press,United Kingdom,-27,classical,Livy,Ab Urbe Condita
UNESCO Index Translationum,,"John of Worcester, R. R.; Darlington, P.; McGurk",The chronicle of John of Worcester (2:) The annals from 450 to 1066,,"Bray, Jennifer; McGurk, P.",1995,Oxford,Clarendon,United Kingdom,1130,medieval,John of Worcester,Chronicle
UNESCO Index Translationum,,"Thomas Becket, Anne; Duggan","The correspondence of Thomas Becket, Archbishop of Canterbury, 1162-1170",,,2000,Oxford,Clarendon,United Kingdom,1170,medieval,Thomas Becket,Correspondence
UNESCO Index Translationum,,"Erasmus, Desiderius; Jardine, Lisa",The education of a Christian prince,Institutio principis Christiani,"Cheshire, Neil; Heath, Michael J.",1997,Cambridge,Cambridge University Press,United Kingdom,1516,renaissance,Desiderius Erasmus,The Education of a Christian Prince
UNESCO Index Translationum,,"Atticus, Titus Pomponius; Cicero, Marcus Tullius",Letters to Atticus (4),Ad Atticum,"Shackleton Bailey, D. R.",1999,London,Harvard University Press,United Kingdom,-50,classical,Cicero,Letters to Atticus
UNESCO Index Translationum,,"Duns, Joannes Scotus; William of Ockham",Scotus vs. Ockham : a medieval dispute over universals (1:) Texts,,"Tweedale, Martin M.",1999,Lampeter,E. Mellen Press,United Kingdom,1320,medieval,John Duns Scotus,Ordinatio - On Universals
UNESCO Index Translationum,,"Duns, Joannes Scotus; William of Ockham",Scotus vs. Ockham : a medieval dispute over universals (2:) Commentary,,"Tweedale, Martin M.",1999,Lampeter,E. Mellen Press,United Kingdom,1320,medieval,John Duns Scotus,Ordinatio - On Universals
UNESCO Index Translationum,,"Plautus, Titus Maccius; Slavitt, David R.; Bovie, Palmer",Plautus : the comedies (3),,,1995,London,Johns Hopkins University Press,United Kingdom,-205,classical,Plautus,Comedies
UNESCO Index Translationum,,"Plautus, Titus Maccius",Three comedies,,"Wind, Robert Lewis",1995,London,University Press of America,United Kingdom,-205,classical,Plautus,Comedies
UNESCO Index Translationum,,"Perkins, William","The art of prophesying : with, The calling of the ministry",Prophetica,,1996,Edinburgh,Banner of Truth Trust,United Kingdom,1592,early_modern,William Perkins,The Art of Prophesying
UNESCO Index Translationum,,"Augustinus Aurelius, Quintus Septimus Florens; Cyrillus Hierosolymitanus; Tertullianus","A new beginning : Tertullian, Cyril and Augustine on baptism",,Mary Bernard; Mary Dominique,1998,Leominster,Gracewing,United Kingdom,400,classical,Augustine of Hippo,On Baptism
UNESCO Index Translationum,,Beda Venerabilis,Bede : a biblical miscellany,,"Holder, Arthur G.; Foley, William Trent",1999,Liverpool,Liverpool University Press,United Kingdom,730,medieval,Bede the Venerable,Biblical Commentary
UNESCO Index Translationum,,"Calvin, Jean; Torrance, David W.; Torrance, Thomas F.","A harmony of the Gospels - Matthew, Mark and Luke (2)",,"Parker, T. H. L.",1995,Carlisle,Paternoster,United Kingdom,1555,renaissance,Jean Calvin,Harmony of the Gospels
UNESCO Index Translationum,,"Swedenborg, Emanuel","Arcana caelestia : principally a revelation of the inner or spiritual meaning of Genesis and Exodus (10:) Paragraphs 8033-9111 : Exodus, chapters 13-21",Arcana caelestia,"Elliott, John",1995,London,Swedenborg Society,United Kingdom,1749,early_modern,Emanuel Swedenborg,Arcana Caelestia
UNESCO Index Translationum,,"Swedenborg, Emanuel","Arcana caelestia : principally a revelation of the inner or spiritual meaning of Genesis and Exodus (12:) Paragraphs 9974-10837 : Exodus, chapters 29-40",Arcana caelestia,"Elliott, John",1999,London,Swedenborg Society,United Kingdom,1749,early_modern,Emanuel Swedenborg,Arcana Caelestia
UNESCO Index Translationum,,"Hunt, Tony",Anglo-Norman medicine (2:) Shorter treatises,,,1997,Cambridge,D.S. Brewer,United Kingdom,1200,medieval,Tony Hunt,Anglo-Norman Medicine
UNESCO Index Translationum,,"Propertius, Sextus Aurelius; Camps, W. A.",Elegies (2),Elegiae,,1997,London,Bristol Classical,United Kingdom,20,classical,Propertius,Elegies
UNESCO Index Translationum,,"Plautus, Titus Maccius; Terentius Afer, Publius",Five comedies,,"Berg, Deena; Parker, Douglass",1999,Cambridge,Hackett,United Kingdom,-180,classical,Plautus and Terence,Five Comedies
UNESCO Index Translationum,,"Magnus, Olaus; Foote, Peter; Granlund, John","Description of the northern peoples, Rome 1555 (1)",Historia de gentibus septentrionalibus,"Fisher, Peter; Higgens, Humphrey",1996,London,Hakluyt Society,United Kingdom,1555,renaissance,Olaus Magnus,Description of the Northern Peoples
UNESCO Index Translationum,,,Ramsey Abbey's book of benefactors (1:) The Abbey's foundation,Liber benefactorum,"Edgington, Susan B.; et al.",1998,s. l.,Hakedes,United Kingdom,1200,medieval,Various,Ramsey Abbey's Book of Benefactors
UNESCO Index Translationum,,"Acosta, José de",De procuranda Indorum salute (1),De procuranda indorum salute,"McIntosh, G. Stewart",1996,Tayport,Mac Research,United Kingdom,1588,early_modern,José de Acosta,De Procuranda Indorum Salute
UNESCO Index Translationum,,"Acosta, José de",De procuranda Indorum salute (2),De procuranda indorum salute,"McIntosh, G. Stewart",1996,Tayport,Mac Research,United Kingdom,1588,early_modern,José de Acosta,De Procuranda Indorum Salute
UNESCO Index Translationum,,Thomas Aquinas,Disputed questions on virtue,Quaestio disputata de virtutibus in communi,"McInerny, Ralph",1999,s. l.,St. Augustine's Press,United Kingdom,,,,
UNESCO Index Translationum,,"Kraye, Jill",Cambridge translations of Renaissance philosophical texts,,,1997,Cambridge,Cambridge University Press,United Kingdom,1997,modern,Jill Kraye,Cambridge Translations of Renaissance Philosophical Texts
UNESCO Index Translationum,,"Geulincx, Arnold",Metaphysics,Metaphysica vera,"Wilson, Martin",1999,Wisbech,Christoffel Press,United Kingdom,1690,early_modern,Arnold Geulincx,Metaphysics
UNESCO Index Translationum,,"Lucretius Carus, Titus",On the nature of the universe,De rerum natura,"Melville, Ronald",1997,Oxford,Oxford University Press,United Kingdom,-55,classical,Lucretius,De rerum natura (On the Nature of the Universe)
UNESCO Index Translationum,,"Basil, Duncan",Expect a miracle,,,1995,s. l.,s. n.,United Kingdom,2000,modern,Duncan Basil,Expect a Miracle
UNESCO Index Translationum,,Gregorius VII,"The register of Pope Gregory VII, 1073-1085 : an English translation",Registrum Vaticanum 2,"Cowdrey, Herbert Edward John",2000,Oxford,Oxford University Press,United Kingdom,1078,medieval,Pope Gregory VII,Register
UNESCO Index Translationum,,Catholica Romana Ecclesia,Catechism of the Catholic Church,,,1999,London,Geoffrey Chapman,United Kingdom,1992,modern,Catholica Romana Ecclesia,Catechism of the Catholic Church
UNESCO Index Translationum,,Catholica Romana Ecclesia,Catechism of the Catholic Church,Catechismus Ecclesiae catholicae,,1999,London,Geoffrey Chapman,United Kingdom,1992,modern,Catholica Romana Ecclesia,Catechism of the Catholic Church
UNESCO Index Translationum,,"Cereta, Laura",Collected letters of a Renaissance feminist,,"Robin, Diana",1997,London,University of Chicago Press,United Kingdom,1488,renaissance,Laura Cereta,Collected Letters
UNESCO Index Translationum,,,Beasts and saints,,"Waddell, Helen; woodcuts by Robert Gibbings",1995,London,"Darton, Longman and Todd",United Kingdom,700,medieval,Various,Beasts and Saints
UNESCO Index Translationum,,"Ward, Benedicta","Christ within me : daily readings from the Anglo-Saxon tradition 'Be, Lord, a lovely aid'",,,1999,London,"Darton, Longman and Todd",United Kingdom,750,medieval,Various,Anglo-Saxon Spiritual Writings
UNESCO Index Translationum,,"Petronius Arbiter, Titus",Satyrica,Satyricon,"Branham, R. Bracht; Kinney, Daniel",1997,London,Everyman Paperbacks,United Kingdom,,,,
UNESCO Index Translationum,,"Petronius Arbiter, Titus",Satyrica,Satyricon,"Branham, R. Bracht; Kinney, Daniel",1996,London,Dent,United Kingdom,,,,
UNESCO Index Translationum,,"Ovidius Naso, Publius; Hopkins, David",Ovid,,,1998,London,Everyman,United Kingdom,8,classical,Ovid,Works
UNESCO Index Translationum,,"Whiteman, Yvonne",A garden of Latin verse : poems of Ancient Rome,,,1998,London,Frances Lincoln,United Kingdom,2000,modern,Yvonne Whiteman,A Garden of Latin Verse
UNESCO Index Translationum,,"Rayor, Diane; Batstone, William W.",Latin lyric and elegiac poetry : an anthology of new translations,,,1995,London,Garland,United Kingdom,2000,modern,Diane Rayor,Latin Lyric and Elegiac Poetry
UNESCO Index Translationum,,"Abraham, Lyndy; Dee, Arthur",Fasciculus chemicus,,"Ashmole, Elias",1997,London,Garland,United Kingdom,1629,early_modern,Arthur Dee,Fasciculus Chemicus
UNESCO Index Translationum,,"Thomas Aquinas, Mary T.; Clark",An Aquinas reader,,,2000,s. l.,Fordham University Press,United Kingdom,1267,medieval,Thomas Aquinas,Summa Theologiae selections
UNESCO Index Translationum,,"Schuler, Robert M.","Alchemical poetry, 1575-1700 : from previously unpublished manuscripts",,,1995,London,Garland,United Kingdom,1637,early_modern,Robert M. Schuler,Alchemical Poetry
UNESCO Index Translationum,,"Catholica Romana Ecclesia, Robin Lindsay; Storey","The register of Gilbert Welton, Bishop of Carlisle 1353-1362",,,1999,Woodbridge,Boydell,United Kingdom,1357,medieval,Gilbert Welton,Register of Bishop Welton
UNESCO Index Translationum,,"Campbell, Brian","The writings of the Roman land surveyors : introduction, text, translation and commentary",,,2000,London,Society for the Promotion of Roman Studies,United Kingdom,1,classical,Roman Land Surveyors,Writings of Roman Land Surveyors
UNESCO Index Translationum,,"Petronius Arbiter, Titus",The Satyricon: dinner with Trimalchio,Satyricon,"Branham, R. Bracht; Kinney, Daniel",1996,London,Phoenix,United Kingdom,60,classical,Petronius,Satyricon
UNESCO Index Translationum,,"Alciati, Andrea","Emblemata : Lyons, 1550",,"Knott, Betty I.",1996,Aldershot,Scolar Press,United Kingdom,,,,
UNESCO Index Translationum,,Ricardus,Chronicle of the Third Crusade : a translation of the Itinerarium peregrinorum et gesta Regis Ricardi,Itinerarium peregrinorum et gesta Regis Ricardi,"Nicholson, Helen J.",1997,Aldershot,Ashgate,United Kingdom,1192,medieval,Richard of Devizes,Itinerarium Peregrinorum
UNESCO Index Translationum,,Catholica Romana Ecclesia,Declaration &quot;Dominus Iesus&quot; : on the unicity and salvific universality of Jesus Christ and the Church,,,2000,London,Catholic Truth Society,United Kingdom,2000,modern,Pontifical Council for Promoting Christian Unity,Dominus Iesus
UNESCO Index Translationum,,"William of Malmesbury, Joseph; Stevenson","A history of the Norman kings (1066-1125) : with the Historia Novella, or history of his own times (1126-1142)",Gesta regum Anglorum,"Sharpe, John",2000,Felinfach,Llanerch,United Kingdom,1125,medieval,William of Malmesbury,Deeds of English Kings
UNESCO Index Translationum,,"Fludd, Robert; McLean, Adam",On the divine numbers and the divine harmony,Utriusque cosmi historia,"Rainsford, Charles A.",1997,Glasgow,A. McLean,United Kingdom,1617,early_modern,Robert Fludd,On the Divine Numbers and Harmony
UNESCO Index Translationum,,"Maier, Michael",Intellectual cantilenae in nine triads upon the resurrection of the Phoenix,Cantilenae intellectuales de Phoenice redivivo,"Dickman, Mike",1997,Glasgow,A. McLean,United Kingdom,1617,early_modern,Michael Maier,Intellectual Cantilenae
UNESCO Index Translationum,,"Ovidius Naso, Publius; Stapleton, M. L.",Thomas Heywood's Art of love : the first complete English translation of Ovid's Ars amatoria,Ars amatoria,,2000,s. l.,University of Michigan Press,United Kingdom,8,classical,Ovid,Ars Amatoria
UNESCO Index Translationum,,"Vergilius Maro, Publius",Aeneid,Aeneid,,1995,London,Constable,United Kingdom,-29,classical,Virgil,Aeneid
UNESCO Index Translationum,,Thomas Morus,Utopia,Utopia,,1997,London,Constable,United Kingdom,1516,renaissance,Thomas More,Utopia
UNESCO Index Translationum,,"Merrifield, Mary Philadelphia",Medieval and Renaissance treatises on the arts of painting : original texts with English translations,,,1999,"Mineola, N.Y.",Dover Publications,United States of America,1500,renaissance,Various,Medieval and Renaissance Treatises on the Arts of Painting
UNESCO Index Translationum,,"Lucretius Carus, Titus; De Quehen, Hugh","Lucy Hutchinson's translation of Lucretius, De rerum natura",De rerum natura,,1996,London,Duckworth,United Kingdom,,,,
UNESCO Index Translationum,,Alexander Aphrodisiensis,On Aristotle on sense perception,De Sensu et sensibilibus,"Towey, Alan",2000,London,Duckworth,United Kingdom,200,classical,Alexander of Aphrodisias,On Aristotle on Sense Perception
UNESCO Index Translationum,,"MacGregor Mathers, Samuel Liddell",The book of concealed mystery,Sefer ha-zohar,,2000,London,Continuum,United Kingdom,1887,early_modern,Samuel Liddell MacGregor Mathers,The Book of Concealed Mystery
UNESCO Index Translationum,,"Seneca, Lucius Annaeus",Hercules : the madness of Hercules,Hercules furens,"Bolt, Ranjit",1999,London,Oberon,United Kingdom,50,classical,Seneca,Hercules Furens
UNESCO Index Translationum,,Sulpicia,The poems of Sulpicia,,"Heath-Stubbs, John",2000,London,Hearing Eye,United Kingdom,-40,classical,Sulpicia,Poems
UNESCO Index Translationum,,,Adomnán's 'Law of the innocents' : a seventh century law for the protection of non-combatants,,"Márkus, Gilbert",1997,Glasgow,Blackfriars Books,United Kingdom,697,medieval,Adomnán of Iona,Lex Innocentium
UNESCO Index Translationum,,,The Declaration of Arbroath - 1320,,"Murphy, Alex C.",1998,Dalkeith,A.C. Murphy,United Kingdom,1320,medieval,Scottish Parliament,Declaration of Arbroath
UNESCO Index Translationum,,"Spinoza, Benedictus de",Ethics,Ethica,"Parkinson, George Henry Radcliffe",2000,Oxford,Oxford University Press,United Kingdom,1677,early_modern,Baruch Spinoza,Ethics
UNESCO Index Translationum,,"Franklin, R. W.","Anglican orders : essays on the centenary of Apostolicae curae, 1896-1996",,,1996,London,Mowbray,United Kingdom,1896,modern,R. W. Franklin,Anglican Orders
UNESCO Index Translationum,,"O'Loughlin, Thomas",St. Patrick : the man and his works,,,1999,London,Triangle,United Kingdom,450,medieval,Saint Patrick,Works of Saint Patrick
UNESCO Index Translationum,,Thomas de Celano,Thomas of Celano's First life of St Francis of Assisi,Vita prima,"Stace, Christopher",2000,London,Society for Promoting Christian Knowledge,United Kingdom,1230,medieval,Thomas of Celano,First Life of Saint Francis of Assisi
UNESCO Index Translationum,,"Harvey, William; Keynes, Geoffrey","The anatomical exercises : De motu cordis and De circulatione sanguinis, in English translation",De motu cordis,,1995,London,Constable,United Kingdom,1628,early_modern,William Harvey,De Motu Cordis
UNESCO Index Translationum,,"Newton, Isaac",The Principia : mathematical principles of natural philosophy,Principia,"Cohen, I. Bernard; Budenz, Julia; Whitman, Anne",1999,London,University of California Press,United Kingdom,1687,early_modern,Isaac Newton,Principia Mathematica
UNESCO Index Translationum,,"Brackenridge, J. Bruce; Newton, Isaac","The key to Newton's dynamics : the Kepler problem and the Principia : containing an English translation of sections 1, 2, and 3 of book one from the first (1687) edition of Newton's Mathematical principles of natural philosophy",,"Rossi, Mary Ann",1996,London,University of California Press,United Kingdom,1687,early_modern,Isaac Newton,Principia Mathematica
UNESCO Index Translationum,,"Seneca, Lucius Annaeus; Cooper, John Madison; Procopé, John Fredrik",Moral and political essays,,,1995,Cambridge,Cambridge University Press,United Kingdom,50,classical,Seneca,Moral and Political Essays
UNESCO Index Translationum,,"William of Ockham, John; Kilcullen, Arthur Stephen; McGrade",A letter to the Friars Minor and other writings,,"Kilcullen, John",1995,Cambridge,Cambridge University Press,United Kingdom,1339,medieval,William of Ockham,Letter to the Friars Minor
UNESCO Index Translationum,,Dhuoda,Liber manualis : handbook for her warrior son,Liber manualis,"Thiébaux, Marcelle",1998,Cambridge,Cambridge University Press,United Kingdom,825,medieval,Dhuoda,Liber Manualis
UNESCO Index Translationum,,"Hobbes, Thomas; Silverthorne, Michael; Tuck, Richard",On the citizen,De cive,,1998,Cambridge,Cambridge University Press,United Kingdom,,,,
UNESCO Index Translationum,,"Fortescue, John; Lockwood, Shelley",On the laws and governance of England,De laudibus legum Anglie,,1997,Cambridge,Cambridge University Press,United Kingdom,1470,renaissance,John Fortescue,On the Laws and Governance of England
UNESCO Index Translationum,,"Cicero, Marcus Tullius; Zetzel, James E. G.","On the commonwealth : and, On the laws",De republica,,1999,Cambridge,Cambridge University Press,United Kingdom,-50,classical,Cicero,De Re Publica and De Legibus
UNESCO Index Translationum,,"Goldberg, Peter Jeremy Piers",Women in England c.1275-1525,,"Goldberg, Peter Jeremy Piers",1995,Manchester,Manchester University Press,United Kingdom,1400,medieval,Peter Jeremy Piers Goldberg,Women in England
UNESCO Index Translationum,,"Falcando, Ugo","The history of the tyrants of Sicily by 'Hugo Falcandus', 1154-69",Historia Falacandi Siculi de rebus gestis in Siciliae regno,"Wiedemann, Thomas; Loud, Graham A.",1998,Manchester,Manchester University Press,United Kingdom,1169,medieval,Hugo Falcandus,Liber de Regno Sicilie
UNESCO Index Translationum,,"Ovidius Naso, Publius",Ovid in love,Amores,"Lee, Guy",2000,London,John Murray,United Kingdom,8,classical,Ovid,Amores
UNESCO Index Translationum,,"Head, Thomas; Noble, Thomas F. X.",Soldiers of Christ,,,1995,London,Sheed &amp; Ward,United Kingdom,750,medieval,Various,Soldiers of Christ
UNESCO Index Translationum,,"Giacomo da Viterbo, R. W.; Dyson",James of Viterbo on Christian government : De regimine Christiano,De regimine Christiano,,1995,Woodbridge,Boydell Press,United Kingdom,1301,medieval,James of Viterbo,De Regimine Christiano
UNESCO Index Translationum,,Dudo,History of the Normans,De moribus et actis primorum Normanniae ducum,"Christiansen, Eric",1998,Woodbridge,Boydell Press,United Kingdom,,,,
UNESCO Index Translationum,,"Martinus Polonus, Dan; Embree","The chronicles of Rome : an edition of the Middle English Chronicles of popes and emperors and, The Lollard chronicle",Chronicon pontificum et imperatorum,,1999,Woodbridge,Boydell Press,United Kingdom,1300,medieval,Martin of Poland,Chronicles of Popes and Emperors
UNESCO Index Translationum,,"Lock, Ray","The court rolls of Walsham le Willows, 1303-1350",,,1998,Woodbridge,Boydell,United Kingdom,1325,medieval,Various,Court Rolls of Walsham le Willows
UNESCO Index Translationum,,Petrus de Valle Sernaio,The history of the Albigensian crusade : Peter of les Vaux-de-Cernay's Historia Albigensis,Historia Albigensis,"Sibly, M. D.; Sibly, W. A.",1998,Woodbridge,Boydell,United Kingdom,1213,medieval,Peter of les Vaux-de-Cernay,Historia Albigensis
UNESCO Index Translationum,,"Guibert de Nogent, Robert; Levine",The deeds of God through the Franks : a translation of Guibert de Nogent's Gesta Dei per Francos,Gesta dei per Francos,,1997,Woodbridge,Boydell Press,United Kingdom,1108,medieval,Guibert of Nogent,Gesta Dei per Francos
UNESCO Index Translationum,,,The miracles of Our Lady of Rocamadour : analysis and translation,,"Bull, Marcus",1999,Woodbridge,Boydell Press,United Kingdom,1166,medieval,Unknown,Miracles of Our Lady of Rocamadour
UNESCO Index Translationum,,Benedictus,Saint Benedict's rule : a new translation for today,Regula,"Barry, Patrick",1997,Leominster,Ampleforth Abbey Press,United Kingdom,480,medieval,Saint Benedict,Rule of Saint Benedict
UNESCO Index Translationum,,,The life of Christina of Markyate,,"Furlong, Monica",1997,Berkhamsted,Arthur James,United Kingdom,1150,medieval,Anonymous,Life of Christina of Markyate
UNESCO Index Translationum,,,The martyrdom of Perpetua,Passio SS. Perpetuae et Felicitatis,,1996,Evesham,Arthur James,United Kingdom,203,classical,Unknown,Martyrdom of Perpetua and Felicity
UNESCO Index Translationum,,Beda Venerabilis,On the temple,De templo,"Connolly, Seán",1995,Liverpool,Liverpool University Press,United Kingdom,720,medieval,Bede the Venerable,On the Temple
UNESCO Index Translationum,,Venantius Fortunatus,Personal and political poems,,"George, Judith W.",1995,Liverpool,Liverpool University Press,United Kingdom,600,medieval,Venantius Fortunatus,Poems
UNESCO Index Translationum,,,The lives of the ninth-century popes (Liber pontificalis) : the ancient biographies of ten popes from A.D. 817-891,Liber pontificalis,"Davis, Raymond",1995,Liverpool,Liverpool University Press,United Kingdom,880,medieval,Unknown,Liber Pontificalis (817-891)
UNESCO Index Translationum,,,The book of pontiffs (Liber pontificalis) : the ancient biographies of the first ninety Roman bishops to AD 715,Liber pontificalis,"Davis, Raymond",2000,Liverpool,Liverpool University Press,United Kingdom,715,medieval,Unknown,Liber Pontificalis
UNESCO Index Translationum,,,Conquerors and chroniclers of early medieval Spain,,"Wolf, Kenneth Baxter",1999,Liverpool,Liverpool University Press,United Kingdom,750,medieval,Unknown,Conquerors and Chroniclers of Early Medieval Spain
UNESCO Index Translationum,,Hilarius,"Hilary of Poitiers : Conflicts of conscience and law in the fourth-century Church : Against Valens and Ursacius: the extant fragments, together with his Letter to the Emperor Constantius",,"Wickham, Lionel R.",1997,Liverpool,Liverpool University Press,United Kingdom,360,classical,Hilary of Poitiers,Against Valens and Ursacius
UNESCO Index Translationum,,,Lives of the Visigothic fathers,,"Fear, A. T.",1997,Liverpool,Liverpool University Press,United Kingdom,700,medieval,Unknown,Lives of the Visigothic Fathers
UNESCO Index Translationum,,Beda Venerabilis,Bede : the reckoning of time,,"Wallis, Faith",1999,Liverpool,Liverpool University Press,United Kingdom,725,medieval,Bede the Venerable,The Reckoning of Time
UNESCO Index Translationum,,Optatus,Optatus : against the Donatists,De schismate Donatistarum,"Edwards, Mark",1997,Liverpool,Liverpool University Press,United Kingdom,400,classical,Optatus,Against the Donatists
UNESCO Index Translationum,,,Donatist martyr stories : the Church in conflict in Roman North Africa,,"Tilley, Maureen A.",1996,Liverpool,Liverpool University Press,United Kingdom,350,classical,Unknown,Donatist Martyr Stories
UNESCO Index Translationum,,"Murdoch, Brian",The Dedalus book of medieval literature : the grin of the gargoyle,,,1995,Sawtry,Dedalus,United Kingdom,1350,medieval,Unknown,Medieval Literature Collection
UNESCO Index Translationum,,Thomas Aquinas,Commentary on Aristotle's Metaphysics,In duodecim libros Metaphysicorum Aristotelis expositio,"Rowan, John Patrick",1995,s. l.,Dumb Ox,United Kingdom,1270,medieval,Thomas Aquinas,Commentary on Aristotle's Metaphysics
UNESCO Index Translationum,,Thomas Aquinas,Commentary on Aristotle's Physics,In octo libros Physicorum expositio,"Blackwell, Richard J.; Spath, Richard J.; Thirlkel, W. Edmund",1999,s. l.,Dumb Ox,United Kingdom,1265,medieval,Thomas Aquinas,Commentary on Aristotle's Physics
UNESCO Index Translationum,,William of Ockham,Ockham's theory of terms : part I of the Summa logicae,Summa logicae,"Loux, Michael J.",1998,"South Bend, IND",St. Augustine's Press,United States of America,1340,medieval,William of Ockham,Summa Logicae
UNESCO Index Translationum,,"Bacon, Roger","Roger Bacon's philosophy of nature : a critical edition, with English translation, introduction, and notes, of De multiplicatione specierum and De speculis comburentibus",,"Lindberg, David C.",1998,"South Bend, IND",St. Augustine's Press,United States of America,1290,medieval,Roger Bacon,On the Multiplication of Species
UNESCO Index Translationum,,"Horatius Flaccus, Quintus",The fleeting years : odes of Horace from the Augustan age of Rome,Odes,"Lyons, Stuart",1996,Stoke-on-Trent,Staffordshire University Press,United Kingdom,-23,classical,Horace,Odes
UNESCO Index Translationum,,"Statius, Publius Papinius",Thebaid,Thebais,"Melville, A.D.",1995,Oxford,Oxford University Press,United Kingdom,,,,
UNESCO Index Translationum,,"Seneca, Lucius Annaeus",Seneca : the tragedies (2),,,1995,London,Johns Hopkins University Press,United Kingdom,50,classical,Seneca the Younger,Tragedies
UNESCO Index Translationum,,"Lucretius Carus, Titus",On the nature of things,De rerum natura,"Esolen, Anthony M.",1995,London,Johns Hopkins University Press,United Kingdom,-55,classical,Lucretius,De rerum natura (On the Nature of Things)
UNESCO Index Translationum,,Beda Venerabilis,Bede : a biblical miscellany,,"Holder, Arthur G.; Foley, William Trent",1999,Liverpool,Liverpool University Press,United Kingdom,730,medieval,Bede the Venerable,Biblical Commentary
UNESCO Index Translationum,,Joannes Paulus II,The gospel of life : a message of hope : the Holy Father's new letter to the world,Evangelium vitae,,1995,London,Fount,United Kingdom,1995,modern,Pope John Paul II,Evangelium Vitae (Gospel of Life)
UNESCO Index Translationum,,Francesco d'Assisi,365 St Francis of Assisi : prayers and meditations for every day of the year,,"Bodo, Murray",1997,London,Fount,United Kingdom,1226,medieval,Francis of Assisi,Prayers and Meditations
UNESCO Index Translationum,,"Erickson, Raymond; Palisca, Claude V.",Musica enchiriadis and Scolica enchiriadis,Musica enchiriadis,"Erickson, Raymond",1995,London,Yale University Press,United Kingdom,900,medieval,Unknown,Musica Enchiriadis
UNESCO Index Translationum,,Thomas Aquinas,A commentary on Aristotle's De anima,Sentencia libri De anima,"Pasnau, Robert",1999,London,Yale University Press,United Kingdom,1273,medieval,Thomas Aquinas,Commentary on Aristotle's De anima
UNESCO Index Translationum,,"Burlaeus, Gualterus",On the purity of the art of logic : the shorter and the longer treatises,De puritate artis logicae tractatus brevior,"Spade, Paul Vincent",2000,London,Yale University Press,United Kingdom,1350,medieval,Walter Burley,On the Purity of the Art of Logic
UNESCO Index Translationum,,Augustinus Aurelius,The city of God against the pagans,De civitate Dei,"Dyson, R. W.",1998,Cambridge,Cambridge University Press,United Kingdom,426,classical,Augustine of Hippo,City of God
UNESCO Index Translationum,,"Ariew, Roger; Cottingham, John; Sorell, Tom",Descartes' Meditations : background source materials,,,1998,Cambridge,Cambridge University Press,United Kingdom,1641,early_modern,René Descartes,Meditations on First Philosophy
UNESCO Index Translationum,,"Descartes, René",Meditations on first philosophy : with selections from the Objections and replies,Meditations de prima philosophia,"Cottingham, John",1996,Cambridge,Cambridge University Press,United Kingdom,1641,early_modern,René Descartes,Meditations on First Philosophy
UNESCO Index Translationum,,"Vitruvius Pollio, Marcus",Ten books on architecture,Architectura libri decum,"Rowland, Ingrid Drake",1999,Cambridge,Cambridge University Press,United Kingdom,-15,classical,Marcus Vitruvius Pollio,De Architectura
UNESCO Index Translationum,,"Bacon, Francis; Jardine, Lisa; Silverthorne, Michael",The new organon,Novum organum,,2000,Cambridge,Cambridge University Press,United Kingdom,1620,early_modern,Francis Bacon,Novum Organum
UNESCO Index Translationum,,Dante Alighieri,Monarchy,De monarchia,"Shaw, Prue",1996,Cambridge,Cambridge University Press,United Kingdom,1310,medieval,Dante Alighieri,Monarchy
UNESCO Index Translationum,,"Galenus, R. J.; Hankinson",Galen on antecedent causes,De causis procatarcticus,,1998,Cambridge,Cambridge University Press,United Kingdom,180,classical,Galen,On Antecedent Causes
UNESCO Index Translationum,,"Calvin, Jean; Lane, A. N. S.",The bondage and liberation of the will : a defence of the orthodox doctrine of human choice against Pighius,De servitute et liberatione humani,"Davies, Graham I.",1996,Carlisle,Paternoster,United Kingdom,1543,renaissance,John Calvin,On the Bondage and Liberation of the Will
UNESCO Index Translationum,,"Calvin, Jean; Torrance, David W.; Torrance, Thomas F.",The Epistle of Paul the apostle to the Corinthians,,"Johnston, William B.",1996,Carlisle,Paternoster,United Kingdom,1546,renaissance,John Calvin,Commentary on First Corinthians
UNESCO Index Translationum,,"Calvin, Jean; Torrance, David W.; Torrance, Thomas F.","The Second Epistle of Paul the apostle to the Corinthians and the Epistles to Timothy, Titus and Philemon",,,1996,Carlisle,Paternoster,United Kingdom,1548,renaissance,John Calvin,Commentary on Second Corinthians and Pastoral Epistles
